"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/fixtureStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 19, 133
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/homepage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 1, 10, 94
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/league.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 13, 107
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/leagues.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 13, 12, 111
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/mobileTopLeagues.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/player.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 5, 24, 104
"/home/sycodes95/personal-projects/on-the-ball-stats/src/pages/team.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 21, 175
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getFixtureById.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getFixturesByDate.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getFixturesByTeamId.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getFixturesH2H.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getLeagueIdByTeamId.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getLeagueTeamStandings.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getLeagueTopReds.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getLeagueTopScorers.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getLeagueTopYellows.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getPremierLeagueStartDate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/services/getTimeZone.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/sycodes95/personal-projects/on-the-ball-stats/src/store/store.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/types/types.ts", "TypeScript", 0, 0, 216, 0, 0, 0, 0, 0, 0, 11, 20, 247
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/formatDMY.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/formatYMD.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/formatYMDHMS.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/getTImeDIfference.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/getTodayDate.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sycodes95/personal-projects/on-the-ball-stats/src/utils/getURLFriendlyString.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sycodes95/personal-projects/on-the-ball-stats/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/sycodes95/personal-projects/on-the-ball-stats/tailwind.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/home/sycodes95/personal-projects/on-the-ball-stats/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 3, 26
"/home/sycodes95/personal-projects/on-the-ball-stats/tsconfig.node.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/sycodes95/personal-projects/on-the-ball-stats/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 14, 42, 1322, 9383, 21, 100, 3154, 2, 2, 251, 755, 15046
